filename,start_time,end_time,chord
"Henry_Butler/Baby,_Let_Me_Hold_Your_Hand.mid",4.494,4.954,Unknown
"Henry_Butler/Baby,_Let_Me_Hold_Your_Hand.mid",4.978,5.421,Unknown
"Henry_Butler/Baby,_Let_Me_Hold_Your_Hand.mid",6.397,7.09,Unknown
"Henry_Butler/Baby,_Let_Me_Hold_Your_Hand.mid",8.517,8.91,F Dominant 7th
"Henry_Butler/Baby,_Let_Me_Hold_Your_Hand.mid",8.91,9.29,Unknown
"Henry_Butler/Baby,_Let_Me_Hold_Your_Hand.mid",11.397,11.776,A# Dominant 7th
"Henry_Butler/Baby,_Let_Me_Hold_Your_Hand.mid",11.776,12.182,Unknown
"Henry_Butler/Baby,_Let_Me_Hold_Your_Hand.mid",13.434,13.816,Unknown
"Henry_Butler/Baby,_Let_Me_Hold_Your_Hand.mid",14.221,14.531,F Dominant 7th
"Henry_Butler/Baby,_Let_Me_Hold_Your_Hand.mid",15.879,16.272,Unknown
"Henry_Butler/Baby,_Let_Me_Hold_Your_Hand.mid",16.958,17.305,A# Dominant 7th
"Henry_Butler/Baby,_Let_Me_Hold_Your_Hand.mid",17.316,18.086,Unknown
"Henry_Butler/Baby,_Let_Me_Hold_Your_Hand.mid",18.386,18.781,Unknown
"Henry_Butler/Baby,_Let_Me_Hold_Your_Hand.mid",19.07,19.491,Unknown
"Henry_Butler/Baby,_Let_Me_Hold_Your_Hand.mid",19.779,20.125,F Dominant 7th
"Henry_Butler/Baby,_Let_Me_Hold_Your_Hand.mid",20.125,20.846,Unknown
"Henry_Butler/Baby,_Let_Me_Hold_Your_Hand.mid",22.601,23.031,A# Dominant 7th
"Henry_Butler/Baby,_Let_Me_Hold_Your_Hand.mid",23.031,23.748,Unknown
"Henry_Butler/Baby,_Let_Me_Hold_Your_Hand.mid",24.204,24.748,Unknown
"Henry_Butler/Baby,_Let_Me_Hold_Your_Hand.mid",25.434,25.86,D Minor
"Henry_Butler/Baby,_Let_Me_Hold_Your_Hand.mid",26.853,27.636,Unknown
"Henry_Butler/Baby,_Let_Me_Hold_Your_Hand.mid",28.551,28.965,Unknown
"Henry_Butler/Baby,_Let_Me_Hold_Your_Hand.mid",29.66,30.198,Unknown
"Henry_Butler/Baby,_Let_Me_Hold_Your_Hand.mid",31.198,31.623,D Minor
"Henry_Butler/Baby,_Let_Me_Hold_Your_Hand.mid",32.454,33.823,Unknown
"Henry_Butler/Baby,_Let_Me_Hold_Your_Hand.mid",34.597,35.004,Unknown
"Henry_Butler/Baby,_Let_Me_Hold_Your_Hand.mid",35.333,35.752,Unknown
"Henry_Butler/Baby,_Let_Me_Hold_Your_Hand.mid",36.048,36.441,Unknown
"Henry_Butler/Baby,_Let_Me_Hold_Your_Hand.mid",37.116,37.687,Unknown
"Henry_Butler/Baby,_Let_Me_Hold_Your_Hand.mid",39.812,40.616,Unknown
"Henry_Butler/Baby,_Let_Me_Hold_Your_Hand.mid",40.945,41.265,Unknown
